date,outlet_name,item_name,net_revenue,quantity,brand,channel,bill_no,product_group,spl_category,basic_rate,cgst,sgst,total_gst,kot_time,city,order_taker
2025-12-01,QAFFEINE HITECH CITY,AMERICANO,119.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018912/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,119,2.98,2.98,5.96,2025-12-01 11:10:05,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAFE MOCHA ( HOT ),175.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018913/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,175,4.38,4.38,8.76,2025-12-01 11:24:51,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,147.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018914/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,147,3.68,3.68,7.36,2025-12-01 11:28:54,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CLASSIC KOREAN GARLIC BUN,181.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018914/2025,SAVOURIES,FOOD,181,4.53,4.53,9.06,2025-12-01 11:28:54,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CLASSIC KOREAN GARLIC BUN,181.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018914/2025,SAVOURIES,FOOD,181,4.53,4.53,9.06,2025-12-01 11:28:54,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,OREO CHOCOLATE THICK SHAKE,203.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018914/2025,Q THICK SHAKE,BEVERAGES,203,5.08,5.08,10.16,2025-12-01 11:28:54,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,FAMOUS COLD COFFEE_P,182.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018915/2025,Q SIGNATURE COLD COFFEE,BEVERAGES,182,4.55,4.55,9.1,2025-12-01 11:53:11,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,FLAT WHITE,154.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018915/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.85,3.85,7.7,2025-12-01 11:53:11,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018915/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.85,3.85,7.7,2025-12-01 11:53:11,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,ALMOND MILK.,94.4,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018916/2025,ADDONS,ADD ON,59,2.36,2.36,4.72,2025-12-01 12:03:39,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CARDAMOM TEA,222.4,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018916/2025,Q HOT TEA,BEVERAGES,139,5.56,5.56,11.12,2025-12-01 12:03:39,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018917/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.85,3.85,7.7,2025-12-01 12:11:33,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,147.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018917/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,147,3.68,3.68,7.36,2025-12-01 12:11:33,HYDERABAD,HITECH CITY CASHIER 1
